day,num_topics,doc_count,num_unassigned,npmi,td
2023-03-09,2,794,0,0.034288671324856926,1.0
2023-03-10,2,802,0,-0.11128198759522122,0.95
2023-03-11,8,487,135,-0.33082927240545523,0.925
2023-03-12,7,377,85,-0.30604147744558174,0.8857142857142857
2023-03-13,2,841,0,-0.1282448949931775,1.0
2023-03-14,9,837,339,-0.18660769173177236,0.9555555555555556
2023-03-15,2,863,0,-0.07306156748328603,1.0
2023-03-16,13,790,245,-0.2126571179332354,0.9230769230769231
2023-03-17,10,834,289,-0.15986990208944893,0.94
2023-03-18,2,471,0,-0.14077186356097585,1.0
2023-03-19,2,394,0,0.05035164316385764,1.0
2023-03-20,2,834,0,0.0006236230395528231,1.0
2023-03-21,2,853,0,-0.038660511663302505,1.0
2023-03-22,2,863,0,-0.05436820696853435,0.95
2023-03-23,8,840,298,-0.1669686959400694,0.9375
2023-03-24,14,880,194,-0.21841913184873013,0.9714285714285714
2023-03-25,11,547,134,-0.17044320686656642,0.9363636363636364
2023-03-26,6,424,73,-0.2381590797332841,0.9833333333333333
2023-03-27,2,807,0,-0.04814799866510518,0.95
2023-03-28,2,816,0,-0.22114630400668778,1.0
2023-03-29,13,805,259,-0.23889067894517046,0.9615384615384616
2023-03-30,15,820,284,-0.18724364900678864,0.9266666666666666
2023-03-31,2,807,15,-0.08425565028802728,1.0
2023-04-01,2,491,0,-0.19958027826410923,1.0
2023-04-02,12,391,64,-0.21550689557359548,0.975
2023-04-03,2,778,0,-0.11220805132011295,1.0
2023-04-04,8,786,203,-0.08866015958375621,0.95
2023-04-05,10,745,222,-0.2899952229773425,0.97
2023-04-06,13,676,244,-0.27978973417349445,0.9076923076923077
2023-04-07,4,569,165,-0.2939478418007949,0.975
2023-04-08,2,435,0,0.01268122220062478,1.0
2023-04-09,3,377,0,-0.09179053659755165,1.0
2023-04-10,2,720,0,-0.03549726775022677,1.0
2023-04-11,10,741,173,-0.17707917220270544,0.92
2023-04-12,2,719,0,-0.22156052338646215,1.0
2023-04-13,14,739,214,-0.16800010710019606,0.9
2023-04-14,9,698,200,-0.22699232355757848,0.9444444444444444
2023-04-15,3,475,4,-0.16693827602864578,0.9
2023-04-16,8,373,153,-0.2840448188732193,0.95
2023-04-17,7,713,264,-0.20985026198075635,0.9714285714285714
2023-04-18,17,740,271,-0.20638990751787967,0.9
2023-04-19,3,763,255,-0.2697648652577149,1.0
2023-04-20,10,760,197,-0.17395684870788647,0.94
2023-04-21,10,568,160,-0.13924379975484139,0.95
