day,num_topics,doc_count,num_unassigned,npmi,td
2023-03-26,11,424,40,-0.1936555369953463,0.9727272727272728
2023-03-27,33,807,99,-0.29954695857974023,0.9878787878787879
2023-03-28,29,816,80,-0.34268188566163227,0.9827586206896551
2023-03-29,28,805,80,-0.37722659285631,0.9964285714285714
2023-03-30,22,820,21,-0.319641329472454,0.9863636363636363
2023-03-31,28,807,56,-0.33020708239097213,0.9892857142857143
2023-04-01,15,491,28,-0.3137529631799232,0.9866666666666667
2023-04-02,15,391,18,-0.32703341376190964,0.9933333333333333
2023-04-03,23,778,42,-0.319377797349418,0.9652173913043478
2023-04-04,33,786,72,-0.295645918610625,0.9818181818181818
2023-04-05,29,745,67,-0.32914216902396215,0.9586206896551724
2023-04-06,20,676,66,-0.3411403510770574,0.965
2023-04-07,20,569,68,-0.3217760044096333,0.995
2023-04-08,13,435,29,-0.38764178154903095,0.9615384615384616
2023-04-09,16,377,22,-0.18566635778793,0.99375
2023-04-10,18,720,36,-0.2915290983299282,0.9833333333333333
2023-04-11,22,741,78,-0.34122648730432525,0.9863636363636363
2023-04-12,25,719,34,-0.30042025699073854,0.988
2023-04-13,24,739,102,,0.9875
2023-04-14,26,698,56,-0.325378215452055,0.9730769230769231
2023-04-15,17,475,63,-0.2700849388034091,0.9882352941176471
2023-04-16,12,373,21,-0.323661571634667,0.975
2023-04-17,23,713,57,-0.1882621404831643,0.991304347826087
2023-04-18,32,740,55,-0.2811853063333185,0.990625
2023-04-19,27,763,86,-0.31933032905662523,0.9851851851851852
2023-04-20,22,760,87,-0.3185704942195598,0.9636363636363636
2023-04-21,22,568,47,-0.32182158280568174,0.9772727272727273
2023-04-22,16,436,73,-0.29261029721951315,1.0
2023-04-23,11,354,11,-0.3208910479548021,0.9636363636363636
2023-04-24,24,641,47,-0.2943790326205547,0.9791666666666666
2023-04-25,22,678,55,-0.2893154635532627,0.990909090909091
2023-04-26,15,542,27,-0.27331433575461267,0.98
2023-04-27,19,508,24,-0.3217573930232809,0.9947368421052631
2023-04-28,23,551,38,-0.2865320543313064,0.991304347826087
2023-04-29,17,360,39,-0.3112781903778425,0.9941176470588236
2023-04-30,8,276,17,-0.3622816027144059,1.0
